Viewers,Show 1,Show 2,Show 3,Show 4,Show 5,Show 6,Show 7,Show 8,Show 9,Show 10,Show 11,Show 12,Show 13,Show 14,Show 15,Show 16,Show 17,Show 18,Show 19,Show 20,Show 21,Show 22,Show 23,Show 24,Show 25,Show 26,Show 27,Show 28,Show 29,Show 30,Show 31,Show 32
Viewer 1,Cobra Kai,Lupin,12 Monkeys,Sherlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 2,Lost,Jack Ryan,The Flash,Game of thrones,House of Cards,12 Monkeys,Vikings,Fringe,The Mentalist,The Alienist,Big Little Lies,Chernobyl,,,,,,,,,,,,,,,,,,,,
Viewer 3,Sex Education,Dr. House,Kingdom,The Walking Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4,Ozark,Sex Education,Constantine,Preacher,Vikings,The Tick,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 5,Naruto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 6,Sex Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 7,Locke & Key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 8,Lupin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 9,Fringe,Shooter,How to get away with murder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 10,Queen of the South,Better Call Saul,Peaky Blinders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 11,Sex Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 12,Atypical,Stranger Things,Homeland,Brooklyn Nine Nine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 13,Daredevil,Atypical,The Walking Dead,The Witcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 14,One Piece,Queen of the South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 15,Demon Slayer,Atypical,Stranger Things,Absentia,The Alienist,Chernobyl,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 16,Queen of the South,The Blacklist,Succession,Sex Education,Berlin Station,Atypical,Two and a half men,Kingdom,Orphan Black,Shooter,Stranger Things,The Mentalist,Absentia,Banshee,Designated Survivor,,,,,,,,,,,,,,,,,
Viewer 17,Daredevil,Lost,The Boys,Family Guy,The man in the high castle,Dr. House,Only Murders in the building,Ragnarok,Chernobyl,How I met your mother,,,,,,,,,,,,,,,,,,,,,,
Viewer 18,Sex Education,Two and a half men,Only Murders in the building,Perception,Lucifer,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 19,Preacher,Only Murders in the building,Absentia,Spartacus,Big Little Lies,Dark,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 20,Lost,Gotham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 21,Spartacus,Perception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 22,Absentia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 23,Into the night,Demon Slayer,Ozark,Constantine,Kingdom,Outer Banks,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 24,Hanna,Demon Slayer,Ozark,Sex Education,Berlin Station,The Walking Dead,Outer Banks,Banshee,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 25,Daredevil,The Boys,Alice in Borderland,Preacher,The Outsider,How to get away with murder,Spartacus,The Alienist,Chernobyl,,,,,,,,,,,,,,,,,,,,,,,
Viewer 26,12 Monkeys,Dark,How I met your mother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 27,Doctor Who,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 28,Doctor Who,Mare of Easttown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 29,Sex Education,Outer Banks,Brooklyn Nine Nine,How I met your mother,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 30,Arrow,Into the night,Queen of the South,Ozark,Sex Education,Peaky Blinders,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 31,The Flash,The Wire,Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 32,The Blacklist,Ozark,You,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 33,Absentia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 34,Cobra Kai,Succession,Sex Education,Jack Ryan,Atypical,Two and a half men,House of Cards,Sopranos,Nine Perfect Strangers,Absentia,,,,,,,,,,,,,,,,,,,,,,
Viewer 35,Outer Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 36,Demon Slayer,Berlin Station,Two and a half men,Shadow and Bone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 37,Family Guy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 38,Arrow,Ozark,Sex Education,Deception,,,,,,,,,,,,,,,,,,,,,,,,,,,,
